algorithm,pop_size,n_gen,crossover_prob,mutation_prob,seed,hv,gd,n_solutions
standard,100,100,0.9,0.5,6,455.4607925702682,0.0,69
standard,100,100,0.9,0.5,7,243.76312836260422,0.0,33
standard,100,100,0.9,0.5,8,129.44644574303732,0.0,42
standard,100,100,0.9,0.5,9,284.95351199958515,0.0,64
standard,100,100,0.9,0.5,10,182.19981978714264,0.0,49
standard,100,100,0.9,0.8,1,246.62954708974075,0.0,58
standard,100,100,0.9,0.8,2,166.43067583118875,0.0,28
standard,100,100,0.9,0.8,3,272.03643166709776,0.0,44
standard,100,100,0.9,0.8,4,757.6527076599086,0.0,78
standard,100,100,0.9,0.8,5,312.84672174232827,0.0,73
standard,100,100,0.9,0.8,6,238.04281148210453,0.0,66
standard,100,100,0.9,0.8,7,226.16156282898092,0.0,53
standard,100,100,0.9,0.8,8,294.92798767105415,0.0,49
standard,100,100,0.9,0.8,9,296.4824226204485,0.0,67
standard,100,100,0.9,0.8,10,174.60446788372406,0.0,59
standard,100,200,0.8,0.5,1,237.5202145410348,0.0,100
standard,100,200,0.8,0.5,2,101.98710439954382,0.0,52
standard,100,200,0.8,0.5,3,176.85857291804317,0.0,98
standard,100,200,0.8,0.5,4,272.4722460054272,0.0,100
standard,100,200,0.8,0.5,5,341.9078450708545,0.0,100
standard,100,200,0.8,0.5,6,312.4624863951525,0.0,80
standard,100,200,0.8,0.5,7,176.13775869804343,0.0,84
standard,100,200,0.8,0.5,8,368.5319611258209,0.0,100
standard,100,200,0.8,0.5,9,247.6342517200611,0.0,95
standard,100,200,0.8,0.5,10,508.1653878391102,0.0,91
standard,100,200,0.8,0.8,1,494.2364593455847,0.0,100
standard,100,200,0.8,0.8,2,378.17480345099887,0.0,66
standard,100,200,0.8,0.8,3,398.367965392179,0.0,100
standard,100,200,0.8,0.8,4,205.4896129708893,0.0,78
standard,100,200,0.8,0.8,5,307.2899514655745,0.0,93
standard,100,200,0.8,0.8,6,403.36916673951,0.0,94
standard,100,200,0.8,0.8,7,218.91689690946026,0.0,96
standard,100,200,0.8,0.8,8,339.3040593329663,0.0,100
standard,100,200,0.8,0.8,9,276.83462618834653,0.0,83
standard,100,200,0.8,0.8,10,327.14213350466525,0.0,100
standard,100,200,0.9,0.5,1,316.6145387492669,0.0,96
standard,100,200,0.9,0.5,2,290.3960125437836,0.0,81
standard,100,200,0.9,0.5,3,306.35046593718437,0.0,90
standard,100,200,0.9,0.5,4,257.09926726192396,0.0,100
standard,100,200,0.9,0.5,5,256.8211864111531,0.0,87
standard,100,200,0.9,0.5,6,533.0070514773804,0.0,100
standard,100,200,0.9,0.5,7,297.0890441516257,0.0,93
standard,100,200,0.9,0.5,8,194.36202245184774,0.0,78
standard,100,200,0.9,0.5,9,287.7245902603262,0.0,92
standard,100,200,0.9,0.5,10,186.54131435569792,0.0,76
standard,100,200,0.9,0.8,1,240.15808343478022,0.0,73
standard,100,200,0.9,0.8,2,259.7771325963804,0.0,75
